company,job_title,company_rating,job_description,location,salary_avg_estimate,salary_estimate_payperiod,company_size,company_founded,employment_type,industry,sector,revenue,career_opportunities_rating,comp_and_benefits_rating,culture_and_values_rating,senior_management_rating,work_life_balance_rating
UBS,Data Analyst,3.9,"India
Business development, Business management, administration and support, Risk
Group Functions
Job Reference #
284924BR
City
Hyderabad
Job Type
Full Time
Your role
Do you have strong analytical skills? Are you familiar with statistical concepts and able to transform data into bespoke content? Do you want to help us expand our data platform?

We’re looking for a data analyst to:

provide analytics and reporting support on a broad range of risk and operational data for our business and senior management
assess and enhance the data collection procedure and automate reporting processes using SQL, VBA
Transform, visualize data and create dashboards using Excel, Alteryx, Power BI & Tableau
run the necessary operational and data governance services required for data integrity
enhance existing data repository to ensure stakeholders’ efficient access to data
research and explore new data sources and analytics tools to continuously enhance our solutions
Your team
You’ll be working in the Metrics and Reporting team in Hyderabad. Our team works closely with our business stakeholders, Automation and IT teams to support the availability and analytics of high quality operational and business data. As a data analyst, you'll play an important role in assessing the business and operational risks and overseeing the reporting of issues and their sustainable remediation.
Your expertise
ideally 2-3 years’ relevant experience of working in data analysis in financial services, data operations, data platforms
strong analytical and coding skills, familiar with programming languages such as Python
interested in digitalization and have an affinity with technology like Power BI, Alteryx Tableau, SQL, Data science skills
bachelor’s/master’s degree in finance, business administration or related field
Hand on experience in verifying data accuracy, using statistical tools to analyze complex data to interpret trends and patterns and creating data systems and reports for management.
inquisitive, able to challenge effectively and manage conflicting stakeholder needs
self-driven and focused on the details, with a good understanding of the banking industry
strong communicator, with a collaborative personality and the ability to complete tasks independently
How we hire
This role requires an assessment on application. Learn more about how we hire: www.ubs.com/global/en/careers/experienced-professionals.html",Hyderābād,"₹7,27,518",/yr (est.),10000+ Employees,1862,Company - Public,Investment & Asset Management,Finance,$10+ billion (USD),3.6,3.5,3.9,3.5,3.8
Tata Consultancy Services,Python + SQL,3.8,"Job Description
Job Description
Must Have:
Python + Advance SQL
Good to have:
Tableau
Location:
HYD, BLR, BBSR
SN

Responsibility of / Expectations from the Role

1

Data Engineering activities - Data extraction, staging, aggregations, lifecycle management, data pipelines (relevant tools & technologies)

2

Databases - Data warehousing, Data modelling & performance tuning

3

Programming - Advanced SQL, Advanced Python

Desired Candidate Profile
Qualifications :BACHELOR OF TECHNOLOGY",Hyderābād,"₹4,19,162",/yr (est.),10000+ Employees,1968,Company - Public,Software Development,Information Technology,$10+ billion (USD),3.7,3.1,3.9,3.3,3.8
Sea and Beyond,Data Analyst,5.0,,Mumbai,,,,,,,,,,,,,
S&P Global,Data Analyst,4.1,"About the Role:
Grade Level (for internal use): 08
The Rol e: Data Analyst

The Team : You will be part of the Data Team, which deals with the collection, processing, and analysis of data from the energy and agriculture industries. The team provides and maintains accurate, complete, and timely datasets, taking into account the global interests and needs of business units internally and externally.

The Impact : We provide the highest quality content that is essential for our clients to make decisions with conviction. As a Data Analyst, you will use our internal tools to support the integrity and comprehensiveness of the data set obtained from internal and external public research sources, such as government and regulatory documents, industry journals, and analyst reports.

Responsibilities:
Work with SQL and Python tools to solve problems and ensure database quality
Collecting, analyzing, extracting, and entering high-quality data (financial and non-financial data) into work tools in accordance with the guidelines' criteria
Filter Data by reviewing reports and performance indicators to identify and correct code problems
Have a solid working understanding of the processes, the dataset's operation, and the available work tools
Providing input and ideas for new collection methods and product enhancements related to the dataset
Achieve predetermined individual and team objectives, including providing results at the highest level.
What We’re Looking For:
Bachelor’s degree in information technologies, computer science or equivalent
A drive to learn and master new technologies and techniques
Strong mathematical & numeracy skills.
Strong analytical and communication skills
Good understanding of Python and SQL languages
Intermediate understanding of databases such as SQL Server or Snowflake
Understanding of reporting & data visualization tools such as PowerBI and Tableau.
Understanding of ETL framework and ETL tools (e.g. Alteryx)
Problem-solving skills
Strong attention to detail
Ability to work in an agile team environment
Flexible Working: We pride ourselves on our agility and diversity, and we welcome requests to work flexibly. For most roles, flexible hours and/or an element of remote working are usually possible. Please talk to us at interview about the type of arrangement that is best for you. We will always try to be adaptable wherever we can.

Return to Work: Have you taken time out for caring responsibilities and are now looking to return to work? As part of our Return to Work initiative (link to career site page when available), we are encouraging enthusiastic and talented returners to apply, and will actively support your return to the workplace.

About S&P Global Commodity Insights
At S&P Global Commodity Insights, our complete view of global energy and commodities markets enables our customers to make decisions with conviction and create long-term, sustainable value.
We’re a trusted connector that brings together thought leaders, market participants, governments, and regulators to co-create solutions that lead to progress. Vital to navigating Energy Transition, S&P Global Commodity Insights’ coverage includes oil and gas, power, chemicals, metals, agriculture and shipping.
S&P Global Commodity Insights is a division of S&P Global (NYSE: SPGI). S&P Global is the world’s foremost provider of credit ratings, benchmarks, analytics and workflow solutions in the global capital, commodity and automotive markets. With every one of our offerings, we help many of the world’s leading organizations navigate the economic landscape so they can plan for tomorrow, today.

For more information, visit http://www.spglobal.com/commodity-insights .

What’s In It For You?

Our Purpose:
Progress is not a self-starter. It requires a catalyst to be set in motion. Information, imagination, people, technology–the right combination can unlock possibility and change the world.

Our world is in transition and getting more complex by the day. We push past expected observations and seek out new levels of understanding so that we can help companies, governments and individuals make an impact on tomorrow. At S&P Global we transform data into Essential Intelligence®, pinpointing risks and opening possibilities. We Accelerate Progress.

Our People:
We're more than 35,000 strong worldwide—so we're able to understand nuances while having a broad perspective. Our team is driven by curiosity and a shared belief that Essential Intelligence can help build a more prosperous future for us all.

From finding new ways to measure sustainability to analyzing energy transition across the supply chain to building workflow solutions that make it easy to tap into insight and apply it. We are changing the way people see things and empowering them to make an impact on the world we live in. We’re committed to a more equitable future and to helping our customers find new, sustainable ways of doing business. We’re constantly seeking new solutions that have progress in mind. Join us and help create the critical insights that truly make a difference.

Our Values:
Integrity, Discovery, Partnership

At S&P Global, we focus on Powering Global Markets. Throughout our history, the world's leading organizations have relied on us for the Essential Intelligence they need to make confident decisions about the road ahead. We start with a foundation of integrity in all we do, bring a spirit of discovery to our work, and collaborate in close partnership with each other and our customers to achieve shared goals.

Benefits:
We take care of you, so you can take care of business. We care about our people. That’s why we provide everything you—and your career—need to thrive at S&P Global.

Our benefits include:
Health & Wellness: Health care coverage designed for the mind and body.

Flexible Downtime: Generous time off helps keep you energized for your time on.

Continuous Learning: Access a wealth of resources to grow your career and learn valuable new skills.

Invest in Your Future: Secure your financial future through competitive pay, retirement planning, a continuing education program with a company-matched student loan contribution, and financial wellness programs.

Family Friendly Perks: It’s not just about you. S&P Global has perks for your partners and little ones, too, with some best-in class benefits for families.

Beyond the Basics: From retail discounts to referral incentive awards—small perks can make a big difference.
For more information on benefits by country visit: https://www.spglobal.com/en/careers/our-culture/

Diversity, Equity, and Inclusion at S&P Global:
At S&P Global, we believe diversity fuels creative insights, equity unlocks opportunity, and inclusion drives growth and innovation – Powering Global Markets. Our commitment centers on our global workforce, ensuring that our people are empowered to bring their whole selves to work. It doesn’t stop there, we strive to better reflect and serve the communities in which we live and work, and advocate for greater opportunity for all.

-----------------------------------------------------------

Equal Opportunity Employer
S&P Global is an equal opportunity employer and all qualified candidates will receive consideration for employment without regard to race/ethnicity, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, marital status, military veteran status, unemployment status, or any other status protected by law. Only electronic job submissions will be considered for employment.

If you need an accommodation during the application process due to a disability, please send an email to: EEO.Compliance@spglobal.com and your request will be forwarded to the appropriate person.

US Candidates Only: The EEO is the Law Poster http://www.dol.gov/ofccp/regs/compliance/posters/pdf/eeopost.pdf describes discrimination protections under federal law.

----------------------------------------------------------- ANLYTC203 - Entry Professional (EEO Job Group)

Job ID: 293364
Posted On: 2024-01-01
Location: Bangalore, Karnataka, India",Bengaluru,,,10000+ Employees,1860,Company - Public,Research & Development,Management & Consulting,$10+ billion (USD),3.8,3.8,4.2,3.8,4.2
SeedApps Technology Services,Data Analyst,,"Experience: 2 To 6 Years
Location: Coimbatore
Roles and Responsibilities:
Using automated tools to extract data from primary and secondary sources.
Removing corrupted data and fixing coding errors and related problems.
Developing and maintaining databases, and data systems – reorganizing data in a readable format.
Performing analysis to assess the quality and meaning of data.
Filter Data by reviewing reports and performance indicators to identify and correct code problems.
Using statistical tools to identify, analyze, and interpret patterns and trends in complex data sets could be helpful for the diagnosis and prediction.
Assigning numerical value to essential business functions so that business performance can be assessed and compared over periods of time.
Analyzing local, national, and global trends that impact both the organization and the industry.
Preparing reports for the management stating trends, patterns, and predictions using relevant data.
Working with programmers, engineers, and management heads to identify process improvement opportunities, propose system modifications, and devise data governance strategies.
Preparing final analysis reports for the stakeholders to understand the data-analysis steps, enabling them to take important decisions based on various facts and trends.
Evaluate internal systems for efficiency, problems, and inaccuracies, and develop and maintain protocols for handling, processing, and cleaning data.",Coimbatore,,,,,,,,,,,,,
Tata consulting engineers,Data Entry Cum Office Assistant,3.8,"Location :
Bangalore
Age :
20 - 45 Years
Qualification :
Diploma (Diploma / Bachelor’s degree in any discipline)
Experience :
2.00 Years
Key Responsibilities and Skills:
Job
Location: Bangalore, Mysuru, Belagavi, Kalaburagi
Contractual Position - 34 Months
Minimum 2 years
of relevant experience (Similar Experience= Data entry, Office assistance
experience).
Certification Course covering basic computer operations, MS Office /
Tally is compulsory. (Certificate Mandatory).
Reading &
writing knowledge of Kannada language is compulsory.",Bengaluru,"₹3,46,627",/yr (est.),1001 to 5000 Employees,1962,Company - Private,Architectural & Engineering Services,"Construction, Repair & Maintenance Services",$25 to $50 million (USD),3.7,3.3,3.9,3.4,3.6
Google,"Product Data Scientist, Pixel",4.4,"Minimum qualifications:
Bachelor's degree in Statistics, Mathematics, Data Science, Engineering, Physics, Economics, a related quantitative field, or equivalent practical experience.
5 years of experience with analysis applications (e.g., extracting insights, performing statistical analysis, or solving business problems), and coding (e.g., Python, R, SQL).

Preferred qualifications:
Advanced degree in quantitative discipline.
Experience performing data engineering and programming in Python.
Experience with experiment design and measurement.
Understanding of decision science, with the ability to drive optimal choices based on available information while eliminating bias.
Excellent SQL, data analysis, and problem-solving skills, with the ability to understand statistical modeling techniques as well as machine learning.
Excellent communication and stakeholder management skills, with the ability to interact with other teams and Google’s leadership.
About the job
Google Pixel phones showcase the Google experiences in a smartphone. We develop new technologies and hardware to make user experiences faster, powerful, and seamless, including our camera experiences powered by Google smarts, including artificial intelligence and machine learning.

In this role, you will be a part of building Google’s Pixel phone business to bring the best of Google to the smartphone experience. You will be responsible for the Pixel product and business strategy, market and engaged analyses, and any analytics driving profit and loss decisions. You will provide business/product critical insights using analytics and data driven insights. You will work closely with executive leaders, Product Manager, Marketing, and all other teams.
Responsibilities
Own and execute the workstream of Pixel dashboards, data engineering, dashboard design, metrics definitions, and insights sharing.
Perform analysis on key Pixel metrics to identify opportunities for strategy improvement.
Liaise and align cross-functionally with Product Management, Marketing, Sales, and Executive Team to understand key business/product problems, leverage analytics to find solutions, and impact decisions by sharing findings.
Build predictive and causal models to understand user behaviors such as churn, loyalty, and engagement.
Perform regular data engineering to generate datasets that support above efforts. Identify KPIs and perform analysis and experiments to properly evaluate success of Pixel programs/products.
Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing our Accommodations for Applicants form.",Bengaluru,,,10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),4.2,4.5,4.3,3.9,4.2
Kovai.co,Data Analyst,4.5,"Kovai.co, the fastest growing SaaS organization is a premier enterprise software company offering multiple products at scale both in the enterprise arena and in the B2B SaaS space.
We are a technology partner of choice for many of the world’s leading enterprises to manage and monitor their Microsoft BizTalk and Azure Serverless environments.

We always stand out from the crowd with our product team consisting of thinkers and innovators who are redefining the way robust Enterprise Software and SaaS products are built. Headquartered in London, U.K and with a development center in Coimbatore, India, our engineers have niche skills and in-depth domain knowledge.

Trusted by over 1,000+ businesses around the world.

Key Products:

BizTalk360
Serverless360
Document360
Churn360
Kovai.co Awards & Recognitions:

Kovai.co wins the title “Bootstrap Champ” at The Economic Times Startup Awards 2021.
Winner of Bootstrapped SaaS start-up of the year by SaaS BOOMi.
NASSCOM Recognizes Document360 at Emerge 50 Awards 2021.

We wish to be known for our values of integrity, teamwork and excellence. As we grow, we ensure that our culture remains at the heart of Kovai.co.
We are constantly on the lookout for smart people who are passionate about building great products, designing great experiences, building scalable platforms, and making customers happy. If you’re looking to make an impact, Kovai.co is the place for you. If this describes you, feel free to have a look at our openings in our career page and apply to be a part of the $30 million journey!

Opportunity: Data Analyst

What you’ll do on the job:

Collecting and interpreting data, analysing results, identifying patterns and trends in data sets.
Segregation, classification, and analysis of data.
Writing reports based on insights gained from data analysis
Writing Python code for achieving the business outcomes
Building visualisations and metrics for showcasing business metrics
Performing data quality checks for quality assurance
Documenting data analysis, business logics and metrics methodology
Supports innovative analytical thinking & solutions that results into improved business performance.

Who’ll be a good fit:

Proven work experience of 1-2 years as a Data Analyst.
Strong in mathematics - statistics, probability, algebra, set theory, time series, calculus, graph theory, etc.
Experience with data wrangling, web scraping, data schema preparation
Data extraction, Data cleaning, Data cleansing, Data transformation, Report building and automation.
Proficient in SQL, Python coding & BI Tool such as Tableau ,PowerBI
Write scalable scripts to fetch or modify data from API endpoints.
Excellent critical thinking, verbal, and written communication skills.
Data science background is an advantage, Exposure to cloud technology is preferred

Perks:

Collaborative and fun team.
Flat organizational structure.
Rewards and recognition.
Health care benefits.
Upskill allowance.
Located at the heart of the city with world class infrastructure

If this excites you, apply for this opportunity, and the team would love to get on a call with you to discuss further.",Coimbatore,"₹4,38,621",/yr (est.),51 to 200 Employees,2010,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,4.6,4.1,4.3,4.5,4.5
JPMorgan Chase & Co,"Environmental, nature Data Modeller",4.0,"JOB DESCRIPTION

As part of the firm’s Risk Management and Compliance function you are at the centre of keeping JPMorgan Chase strong and resilient. Environmental and Social (E&S) Risk is responsible for developing and implementing the firm’s approach to E&S risk matters. E&S Risk provide oversight of the firm’s lines of business, including the processes that support consistent identification, escalation, management and monitoring of E&S risk issues, and provide effective challenge on E&S matters. In addition, this role will require extensive collaboration with the firm’s Climate Risk team.
Job Responsibilities
Support development of an in-house analytical and model-driven approach for the appropriate environmental risks for the firm to consider, covering varying environmental / nature-related topics and the potential transmission channels to the financial sector.
Determine appropriate metrics for assessing environmental risk at the portfolio, client and asset level – both direct and indirect through operations and supply chain impacts, for example, qualitative heat maps or risk scores.
Establish requirements and drive firmwide / legal entity needs for collecting data on environmental risks and potential risk-related scenario analysis. Specifically identify, assess and select relevant data vendors both open source or third-party.
Engage and coordinate with other functions across the firm on environmental risk matters e.g. Corporate Responsibility, Compliance, Controls, Chief Data Office, other risk functions including model risk etc
Participation in responding to global E&S related regulations (existing and evolving) including where necessary participation in preparation of external E&S risk related disclosures
Input into research on a range of E&S issues and thematic topics that affects the firm and its clients e.g. biodiversity, supply chain issues etc
Financial institution or banking experience not necessarily required
Required qualifications, capabilities and skills
Experience in environmental and / or climate modelling including in model evaluation and development, ideally applied to business cases
Excellent analytical skills and comfort working with large datasets
Proficient with coding (Python) and geospatial analysis
Strong academic background in a highly quantitative discipline, including engineering, physics, geography or maths
Understanding of the current voluntary and regulatory landscape for environmental topics, including nature, as it relates to the financial sector
Knowledge of environmental risks and the transmission channels through which these can manifest for financial institutions
Highly effective in narrating analytical output to stakeholders, with an ability to convey information clearly, accurately and succinctly (both written and verbally) with strong interpersonal and presentation skills
ABOUT US

JPMorgan Chase & Co., one of the oldest financial institutions, offers innovative financial solutions to millions of consumers, small businesses and many of the world’s most prominent corporate, institutional and government clients under the J.P. Morgan and Chase brands. Our history spans over 200 years and today we are a leader in investment banking, consumer and small business banking, commercial banking, financial transaction processing and asset management.

We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. In accordance with applicable law, we make reasonable accommodations for applicants’ and employees’ religious practices and beliefs, as well as any mental health or physical disability needs.



ABOUT THE TEAM
Our professionals in our Corporate Functions cover a diverse range of areas from finance and risk to human resources and marketing. Our corporate teams are an essential part of our company, ensuring that we’re setting our businesses, clients, customers and employees up for success.


Risk Management helps the firm understand, manage and anticipate risks in a constantly changing environment. The work covers areas such as evaluating country-specific risk, understanding regulatory changes and determining credit worthiness. Risk Management provides independent oversight and maintains an effective control environment.",India,,,10000+ Employees,1799,Company - Public,Banking & Lending,Finance,$10+ billion (USD),4.0,3.9,3.9,3.6,3.7
Vernacular.ai,Data Annotator,3.8,"Company Description

Vernacular.ai is a Series A funded startup, we are an AI-First SaaS business that is driven with a mission to become the leading voice automation/AI platform in the world. Our team has extensive experience in the AI/automation space and through constant reiteration and hard work, we have successfully built our state of the art AI-based voice automation platform - VIVA. Currently, we have deployed our product in enterprise contact centers and are keen to deliver high value. We are a young, entrepreneurial, energetic team that's looking to disrupt the voice domain.

Job Description

Role description
As data associate, you will work closely with the product and machine learning team. Your role would involve taking ownership of transcribing, tagging and annotating data for training AI model.
The role would also involve monitoring and analyzing conversational bots to come up with useful insights.
Responsibilities
Tagging and annotating conversation data to provide useful information for the machine learning team using internal tools.
Provide feedback for improvements to existing tooling that can increase tagging throughput and quality.
Monitoring and analysing the performance of the conversational bots and providing actionable insights.
Requirements & Qualifications
Bachelors’s degree in any field.
Fluency in English and Hindi. Being proficient in multiple languages is a plus.
Excellent communication, strong organizational and analytical skills with an eye for details.
Inquisitive nature to know more about Natural Language Processing and conversational artificial intelligence would be encouraged.

Qualifications

Bachelors’s degree in any field",Bengaluru,"₹2,19,333",/yr (est.),51 to 200 Employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,$1 to $5 million (USD),3.5,3.8,3.7,3.4,3.8
Comprinno Technologies Pvt. Ltd.,Data Science Engineer,,"Jr. Data Science Engineer
Department: Data Science & Analytics
Employment Type: Full Time, Permanent
Role Category: Data Science & Machine Learning
Location: Remote
Responsibilities:
● Learn and apply machine learning and deep learning concepts under the
guidance of senior team members.
● Collaborate with cross-functional teams to contribute to data science solutions
based on business requirements.
● Assist in the development and implementation of predictive modeling techniques.
● Support data analysis efforts to identify trends, patterns, and anomalies in large
datasets.
● Understand and apply Generative AI concepts, including LLM, OpenAI, and
prompt engineering.
● Work closely with senior engineers to integrate data science solutions into
production systems.
● Stay updated on the latest advancements in data science, machine learning, and
AI technologies.
● Contribute to the documentation of data science models, algorithms, and
workflows.
● Conduct thorough data analysis to identify trends, patterns, and anomalies.
● Collaborate with other teams to deploy and maintain data science models on the
AWS cloud platform.
Qualifications:
● Bachelor's or advanced degree in Computer Science, Statistics, or a related
field.
● Proven experience as a Data Science Engineer with a focus on ML, DL,
predictive modeling, and Generative AI concepts.
● Strong proficiency in Python programming and experience with relevant
libraries (e.g., TensorFlow, PyTorch, scikit-learn).
● Interest in AWS cloud services and a willingness to gain expertise in deploying
data science solutions on the cloud.
● Familiarity with SQL for querying and manipulating datasets.
● Strong problem-solving and analytical skills.
● Excellent communication skills and the ability to work effectively in a collaborative
team environment.
● A proactive attitude and a commitment to continuous learning.
● Solid understanding of data structures, algorithms, and software engineering
principles.
Preferred Qualifications:
● 0-1 year of industry experience or Relevant internships into Data Science,
Machine Learning, or AI field.
● Bachelor's or advanced degree in Computer Science, Data Science, Statistics, or
a related field.
● Experience with natural language processing (NLP) and LLM.
● Proficiency in SQL, Python, or other relevant programming languages.
Job Type: Full-time
Salary: From ₹20,000.00 per month
Benefits:
Work from home
Schedule:
Day shift
Monday to Friday
Work Location: Remote
Speak with the employer
+91 8149952129",Remote,"₹20,000",/mo (est.),,,,,,,,,,,
Trelleborg Sealing Solutions (TSS),DATA ANALYST,3.7,"Trelleborg is a world leader in engineered polymer solutions for almost every industry on the planet. And we are where we are because our talents brought us here. By specializing in the polymer engineering that makes innovation and application possible, Trelleborg works closely with leading industry brands to accelerate their performance, drive their business forward—and along the way, shape the industry and progress that will benefit humankind in the exciting years ahead. Our people are Shaping Industry from the Inside. Why don´t you join us?
Do you approach new challenges with passion and take responsibility for your actions? Be the change you want to see and start shaping industry from the inside.
As an Data Analyst, you will be responsible for reporting and analytics which provide fast and accurate data insight enabling operational and strategic business decisions. Interfacing with other areas of TSS as needed (sales, manufacturing, IT etc).
Scope of your Role: Responsible,
Responsible for Operational business management KPIs.
Responsible for Regular / recurring / scheduled analysis reports
Responsible for Analysis dashboards
Responsible for Ad hoc analysis requirements and tasks
Responsible for converting the written requirements into a finalized specification document and resulting delivered product (reports, KPIs, dashboards)
Qualification and Experience:
Associates degree required; Bachelor’s degree preferred
Minimum 3 years’ experience in Data Analyst.
Strong verbal and written communication skills .
Software knowledge: BI Cognos analytics for reports and dashboards, SAP S4/Hana Fiori, Excel (advanced).
Experience in other analytics, SQL/scripting and dashboard software tools.
Experience working across different countries / cultures.
Our benefits for you
Work in multicultural environments
Family friendly and life-phase oriented company culture
Flexible work hours with mobile work quantum
Start shaping industry from the inside!
Trelleborg is an Equal Opportunity Employer, and we take pride in the diversity of our employees, valuing the special experience and expertise that people from different backgrounds bring to our business. The ability to develop ground-breaking technologies is one of our key assets and our people make it happen.
Feel free to contact our HR Team for any questions:
ashwini.venkatesh@trelleborg.com",Bengaluru,"₹3,87,298",/yr (est.),10000+ Employees,1905,Company - Public,Machinery Manufacturing,Manufacturing,$2 to $5 billion (USD),3.3,3.5,3.3,3.2,3.3
Aspire SoftServ,Data Research Associate,,"Openings:
1
Experience:
0 - 2
Responsibilities:
Understanding client persona and finding relevant people who precisely fit into out persona profile.
Researching on search engines- Google, Bing and business networking platforms to find relevant people- CEO, CXO, CTO, IT Managers, CIO and the like.
Cleaning such data (of CEOs) by verifying that their business offerings are precisely as is of our persona profile (IT software services matching our technology portfolio) and ensuring the prospects are open to outsourcing and don’t have outsourcing partners in our competition.
Researching individuals matching the persona profile to assess the business value of engaging with them.
Gathering information (contact details- email, phone) on valuable prospects that fit our persona and hand it over to our Sales team for pitching our services or nurturing.
Researching potential client’s portfolio in order to understand their business requirements in order to pitch them right solutions.
Essential Requirements:
Should have a degree or diploma in Computer Application studies or equivalent.
Keeping abreast with new technologies and our offerings
Target oriented, focused and energetic.
Minimum 2 years of relevant experience is required.",India,,,51 to 200 Employees,--,Company - Private,--,--,Unknown / Non-Applicable,,,,,
Volvo Group,Experienced Data Scientist,4.1,"Experienced Data Scientist
Location: Bangalore, IN, 562122
Position Type: Professional
Transport is at the core of modern society. Imagine using your expertise to shape sustainable transport solutions for the future? If you seek to make a difference on a global scale, working with next-gen technologies and the sharpest collaborative teams, then we could be a perfect match.
Transform Data into Useful Knowledge and Wisdom!!!
At Volvo Group Trucks Technology Powertrain Engineering, we have started to lay a big emphasis on how Data should Drive our Future Development. We are currently looking for a Data Scientist who can helps us to accelerate in our Journey.
Do you want to be part of a team where you get the chance to contribute to a better environment and sustainable future? Good, we are ready for you!
What do we do?
We are the Simulation and Analytics Team in Powertrain Engineering within Volvo Group Trucks Technology, a dynamic team working towards enabling the Technology organization in evaluating futuristic products and services for Volvo business units such as trucks, buses, construction equipment and Marine
The main tasks in our team are to meet our customer’s expectation on quality, fuel consumption and to comply with emission legislation. This is done by selecting Engine HW-components and calibrate engine related functions. Upcoming emission legislation requires development of advanced control strategies together with an optimized hardware and software. You will be an important contributor in this development.
Powertrain is the heart of the Truck and is one of the focus areas within Volvo Group, which is at the forefront of sustainable transport solutions for tomorrow.

We are on a mission to unleash the unimaginable power of Data…
Sound interesting? We want you to join us!
What will you do?
You will work in agile teams through good collaboration with our colleagues in software development and design teams all around the world.
You along with the team will be responsible for understanding customer usage and performance of our products and for providing our solutions throughout entire product life cycle, from idea investigation and concept evaluation to industrialization and to aftermarket and maintenance. You will make meaningful interpretations, recommendations and eventually predictions from the Data available from various sources to support our endeavor in moving towards Data Driven Powertrain Development
You get the opportunity to follow your Data Driven Models from script to test cell to verification in a truck and eventually to being used by our end customers.

We have an agile way of working, where each team plan their activities in sprints and deliver solutions together as a team. We strive to have an open and honest environment within the teams, where it is easy to ask each other for support when needed. The tasks can be either part of a larger project or short tasks to improve products currently in production.
You will get the opportunity to interact with highly committed colleagues from different cultures. We hope you will learn as much from us as we will from you
Who are you?
We believe that to be successful in this position, you are a team player, have strong experience in data engineering and analysis area, and a will to deliver. You have a knowledge of control systems and feedback systems (closed loop) in general with an exposure to numerical and data driven simulation of a system. You must have a proven experience in Data modelling – Regression, Clustering, Neural Networks, Time series etc. and should have used them in solving real-life challenges (prediction, automation, real time optimization etc).
You have a willingness to learn and take more responsibility with can-do attitude.
You will be greatly appreciated in this role if you have demonstrated Predictive analysis and decision-making using Data.

If you are a Master’s Degree holder in Mechanical/Automobile/Electronics/Mechatronics Engineering with fantastic analytical skills, have gained a strong domain understanding in Powertrain Engineering with proven skills in handling and analysing large set of data to make meaningful interpretations and if you believe that you can work smoothly with tools like Python (including libraries like Numpy, SciPy, Pandas, Tensorflow), R, SQL, Git, Azure, Hadoop and Matlab/Simulink, pySpark, C/C++/ Scala then you can be a good fit into this role.
Experience of working with relational databases, data privacy and understanding of IOT based instrumentation design with additional data logging to build or validate models is a big plus.

A passion for turning data into knowledge with great visualizations using Power BI, QlikView, Tableau and an experience of working with plant/ component models, and integration of these models into SIL/MIL/HIL evaluations would be an icing on the cake.

We value your data privacy and therefore do not accept applications via mail.

Who we are and what we believe in
Our focus on Inclusion, Diversity, and Equity allows each of us the opportunity to bring our full authentic self to work and thrive by providing a safe and supportive environment, free of harassment and discrimination. We are committed to removing the barriers to entry, which is why we ask that even if you feel you may not meet every qualification on the job description, please apply and let us decide.

Applying to this job offers you the opportunity to join Volvo Group. Every day, across the globe, our trucks, buses, engines, construction equipment, financial services, and solutions make modern life possible. We are almost 100,000 people empowered to shape the future landscape of efficient, safe and sustainable transport solutions. Fulfilling our mission creates countless career opportunities for talents with sharp minds and passion across the group’s leading brands and entities.

Group Trucks Technology are seeking talents to help design sustainable transportation solutions for the future. As part of our team, you’ll help us by engineering exciting next-gen technologies and contribute to projects that determine new, sustainable solutions. Bring your love of developing systems, working collaboratively, and your advanced skills to a place where you can make an impact. Join our design shift that leaves society in good shape for the next generation.
Job Category: Advanced Analytics
Organization: Group Trucks Technology
Travel Required: Occasional Travel
Requisition ID: 3363
View All Jobs
Do we share the same aspirations?
Every day, Volvo Group products and services ensure that people have food on the table, children arrive safely at school and roads and buildings can be constructed. Looking ahead, we are committed to driving the transition to sustainable and safe transport, mobility and infrastructure solutions toward a net-zero society.
Joining Volvo Group, you will work with some of the world’s most iconic brands and be part of a global and leading industrial company that is harnessing automated driving, electromobility and connectivity.
Our people are passionate about what they do, they aim for high performance and thrive on teamwork and learning. Everyday life at Volvo is defined by a climate of support, care and mutual respect.
If you aspire to grow and make an impact, join us on our journey to create a better and more resilient society for the coming generations.",Bengaluru,"₹7,83,182",/yr (est.),10000+ Employees,1927,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD),3.8,3.8,4.1,3.7,4.1
